X,Y,OBJECTID,Type,Detail,Name,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,Ownership,Management,Surface,Use_,Condition,lat,long
-85.588877191968649,43.505194942815059,65,Campground,State Park,Newaygo State Park Oak,Cadillac,Newaygo,Newaygo State Park,Rustic,51,0,State,DNR,Dirt,Recreation,Unknown,43.5051867,-85.58887189
-84.763387273095802,44.513695994381628,66,Campground,State Park,North Higgins Lake  State Park East,Roscommon,Crawford,North Higgins Lake  State Park,Modern,93,0,State,DNR,Dirt,Recreation,Unknown,44.51368754,-84.76338211
-84.232875101778816,45.4357290370992,67,Campground,State Park,Onaway State Park  ,Gaylord,Presque Isle,Onaway State Park,Modern,85,0,State,DNR,Dirt,Recreation,Unknown,45.4357204,-84.23287
-86.315643161805099,44.281421775215151,68,Campground,State Park,Orchard Beach State Park  ,Cadillac,Manistee,Orchard Beach State Park,Modern,168,0,State,DNR,Dirt,Recreation,Unknown,44.28141345,-86.31563755
-83.409393489868791,42.89685653420311,69,Campground,State Park,Ortonville Recreation Area  ,Bay City,Oakland,Ortonville Recreation Area,Equestrian,25,0,State,DNR,Dirt,Recreation,Unknown,42.89684828,-83.40938891
-84.687630881067179,44.934078161847822,70,Campground,State Park,Otsego Lake State Park North,Gaylord,Otsego,Otsego Lake State Park,Modern,99,4,State,DNR,Dirt,Recreation,Unknown,44.93406963,-84.6876257
-84.690835547542179,44.92894181145558,71,Campground,State Park,Otsego Lake State Park South,Gaylord,Otsego,Otsego Lake State Park,Modern,52,0,State,DNR,Dirt,Recreation,Unknown,44.92893328,-84.69083036
-84.910084183118556,45.404004646902976,72,Campground,State Park,Petoskey State Park Dune,Gaylord,Emmet,Petoskey State Park,Modern,80,0,State,DNR,Dirt,Recreation,Unknown,45.40399606,-84.91007888
-84.908364012124011,45.409023666808828,73,Campground,State Park,Petoskey State Park  ,Gaylord,Emmet,Petoskey State Park,Group,1,0,State,DNR,Dirt,Recreation,Unknown,45.40901507,-84.90835871
-84.043627506777881,42.422773371120279,74,Campground,State Park,Pickney Recreation Areas Bruin Lake,Rose Lake,Washtenaw,Pickney Recreation Areas,Modern,185,0,State,DNR,Dirt,Recreation,Unknown,42.42276523,-84.04362278
-83.980047534305612,42.422559516247205,75,Campground,State Park,Pickney Recreation Areas  ,Rose Lake,Washtenaw,Pickney Recreation Areas,Rustic,20,0,State,DNR,Dirt,Recreation,Unknown,42.42255137,-83.98004283
-83.459051267267398,42.689151872493113,76,Campground,,Pontiac Lake Recreation Area  ,Pontiac,Oakland,Pontiac Lake Recreation Area,Equestrian,1,0,State,DNR,Dirt,,Good,42.68914366,-83.45904669
-83.482450239944441,42.686648935976159,77,Campground,State Park,Pontiac Lake Recreation Area  ,Pontiac,Oakland,Pontiac Lake Recreation Area,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,42.68664072,-83.48244566
